CH1,CH2,CH3,CH4,CH5
-74.74,-72.681,-72.599,-54.597,-85.561
-74.787,-71.261,-72.354,-52.154,-85.594
-72.346,-68.917,-74.4,-41.827,-74.814
-72.229,-66.229,-74.47,-43.607,-85.808
-74.256,-69.058,-75.417,-45.136,-86.172
-79.036,-66.883,-73.985,-41.931,-85.667
-72.636,-74.57,-76.411,-42.377,-84.904
-80.11,-67.177,-75.177,-43.069,-86.033
-74.901,-65.549,-72.313,-42.608,-86.094
-74.402,-64.173,-73.219,-42.956,-85.529
-79.805,-67.367,-70.526,-44.418,-86.107
-75.418,-66.214,-72.493,-43.16,-85.488
-76.907,-66.324,-76.35,-44.54,-84.681
-74.545,-67.032,-70.123,-46.91,-85.12
-81.32,-67.713,-75.353,-43.534,-85.534
-77.529,-64.347,-73.722,-43.954,-85.164
-73.178,-66.355,-75.866,-43.215,-85.981
-79.509,-71.959,-74.874,-45.238,-85.672
-75.863,-69.298,-70.299,-45.433,-84.966
-73.534,-70.485,-71.834,-42.984,-85.276
-73.225,-70.628,-76.438,-43.203,-85.131
-76.402,-71.277,-76.541,-43.362,-85.331
-78.06,-70.851,-75.848,-44.537,-83.341
-80.385,-70.71,-75.035,-43.952,-74.75
-82.072,-70.784,-72.955,-44.123,-85.604
-75.887,-77.724,-74.799,-42.434,-86.579
-73.001,-72.774,-68.969,-45.119,-85.736
-81.128,-69.978,-72.456,-43.143,-85.134
-74.502,-70.106,-75.193,-42.78,-85.422
-73.089,-66.881,-75.258,-46.274,-85.711
-74.586,-76.603,-74.8,-45.465,-85.323
-78.158,-70.519,-74.763,-43.008,-84.918
-73.45,-70.002,-75.886,-45.826,-85.599
-73.939,-67.514,-74.25,-45.407,-76.669
-71.597,-74.18,-75.149,-42.747,-85.64
-75.021,-75.874,-76.446,-43.855,-84.676
-77.973,-70.955,-74.614,-43.249,-85.628
-74.916,-70.779,-73.273,-43.354,-86.234
-74.941,-75.88,-76.063,-44.316,-86.343
-74.233,-75.136,-75.663,-42.804,-84.203
-73.248,-71.839,-75.465,-44.139,-85.472
-70.751,-74.814,-75.905,-42.843,-85.045
-75.148,-71.166,-76.235,-43.916,-70.246
-76.66,-75.683,-74.738,-43.553,-84.932
-76.773,-73.135,-77.173,-54.045,-85.87
-78.598,-70.34,-75.818,-49.336,-86.178
-74.42,-72.788,-76.637,-36.107,-84.327
-77.795,-70.442,-75.631,-38.6,-84.579
-77.184,-71.25,-75.077,-39.878,-86.221
-79.865,-75.101,-76.183,-39.64,-84.879
-71.896,-69.481,-75.502,-39.112,-83.186
-78.488,-73.159,-77.924,-38.64,-85.737
-75.122,-68.331,-78.969,-40.575,-84.96
-79.849,-67.729,-70.783,-39.725,-84.674
-76.579,-73.016,-76.02,-40.095,-75.976
-76.797,-67.234,-76.548,-39.058,-84.096
-80.165,-76.481,-76.468,-38.942,-85.006
-77.326,-73.821,-76.683,-43.179,-86.134
-75.674,-73.265,-72.648,-41.705,-84.243
-78.238,-71.943,-77.24,-42.15,-85.45
-79.646,-71.041,-77.274,-38.275,-72.603
-74.079,-73.233,-79.021,-41.246,-85.511
-74.864,-68.929,-76.029,-38.789,-85.264
-72.96,-66.158,-76.336,-41.089,-86.222
-73.353,-64.273,-75.334,-38.903,-85.683
-71.877,-66.591,-78.334,-39.648,-85.418
-74.991,-65.121,-74.941,-39.135,-84.336
-74.405,-67.257,-76.04,-38.75,-85.268
-72.405,-66.673,-77.184,-38.389,-84.082
-80.868,-66.926,-76.284,-39.847,-84.753
-76.967,-68.296,-78.136,-39.51,-84.309
-78.93,-70.003,-79.441,-39.493,-85.85
-72.122,-75.775,-77.052,-39.675,-84.319
-75.914,-76.385,-76.767,-39.291,-85.605
-82.068,-76.561,-74.336,-39.584,-72.844
-73.745,-74.543,-78.808,-38.973,-83.674
-76.886,-71.062,-76.749,-38.846,-84.252
-76.457,-76.373,-76.967,-38.828,-85.876
-73.44,-77.84,-75.495,-39.228,-85.659
-75.247,-67.517,-74.06,-38.795,-86.258
-72.375,-75.558,-75.603,-38.662,-85.518
-73.67,-72.236,-76.858,-38.896,-84.454
-78.031,-65.97,-71.602,-38.893,-83.342
-71.836,-66.149,-74.985,-39.377,-83.62
-74.552,-69.198,-74.166,-39.494,-83.95
-79.56,-72.966,-75.899,-39.086,-83.992
-76.327,-75.385,-77.367,-40.528,-85.491
-72.32,-76.133,-76.062,-39.176,-83.17
-76.036,-76.441,-76.807,-41.868,-84.683
-73.814,-73.743,-77.193,-38.253,-85.067
-73.477,-75.195,-77.249,-39.133,-81.697
-78.002,-76.841,-77.68,-38.653,-84.812
-80.508,-71.797,-77.676,-39.016,-85.926
-78.484,-70.027,-77.563,-38.829,-84.746
-80.758,-68.619,-73.191,-37.843,-82.789
-78.942,-76.382,-76.668,-39.229,-83.712
-74.083,-78.53,-75.698,-39.402,-83.419
-78.778,-74.527,-71.874,-39.768,-85.105
-74.631,-73.813,-76.555,-42.519,-84.634
-74.141,-74.455,-74.865,-39.824,-85.998
-73.776,-77.531,-74.79,-37.988,-83.735
-75.466,-75.686,-73.998,-39.928,-69.826
-74.826,-68.727,-75.16,-40.61,-83.098
-76.59,-77.678,-74.958,-40.785,-86.071
-76.053,-75.888,-76.623,-38.984,-84.889
-73.754,-76.785,-75.662,-38.449,-84.833
-78.8,-78.364,-74.95,-39.01,-83.066
-75.281,-75.332,-75.469,-38.478,-85.417
-79.308,-73.458,-73.146,-38.707,-85
-76.477,-79.011,-76.812,-40.405,-70.891
-73.76,-79.278,-74.644,-40.243,-83.834
-78.538,-68.977,-78.201,-41.802,-85.295
-72.827,-74.091,-75.207,-37.752,-82.691
-74.997,-72.497,-76.702,-38.619,-83.137
-78.872,-75.783,-77.074,-39.355,-85.142
-77.308,-73.753,-78.466,-39.206,-86.143
-75.842,-73.268,-73.015,-37.786,-85.853
-74.729,-77.417,-76.935,-38.361,-84.729
-77.865,-77.349,-74.885,-39.57,-84.828
-81.271,-71.004,-77.468,-42.625,-85.477
-81.14,-79.971,-75.057,-40.226,-83.913
-78.566,-78.09,-79.299,-38.275,-84.95
-78.946,-76.349,-78.975,-40.582,-85.646
-74.304,-75.544,-76.335,-39.416,-84.357
-72.297,-75.862,-76.448,-38.826,-85.385
-72.848,-71.596,-75.547,-38.794,-84.776
-74.159,-77.409,-75.162,-40.277,-84.858
-74.955,-76.838,-75.374,-39.646,-85.219
-79.761,-73.694,-75.863,-39.118,-86.133
-75.074,-70.825,-77.164,-39.508,-84.378
-74.252,-74.845,-77.344,-39.745,-86.068
-81.013,-76.017,-75.81,-37.854,-84.839
-73.178,-77.301,-77.184,-38.432,-84.943
-79.98,-72.019,-75.669,-39.201,-85.146
-79.134,-70.851,-77.448,-38.167,-85.386
-75.142,-77.173,-78.157,-39.289,-85.826
-78.419,-75.843,-79.126,-37.156,-85.846
-77.573,-77.669,-78.144,-39.334,-86.095
-77.745,-72.78,-75.697,-38.832,-84.388
-76.556,-72.35,-73.565,-35.138,-85.316
-74.986,-81.051,-78.03,-40.196,-84.538
-77.025,-70.21,-76.799,-38.859,-86.043
-73.553,-78.102,-75.766,-40.498,-85.016
-78.253,-74.302,-75.037,-38.315,-77.961
-75.135,-70.729,-77.395,-40.105,-83.576
-79.554,-74.343,-73.282,-40.15,-73.595
-77.738,-76.083,-74.07,-39.518,-86.174
-79.964,-75.827,-72.524,-38.148,-85.521
-75.245,-77.382,-75.57,-39.604,-85.707
-79.728,-76.182,-76.284,-38.314,-86.001
-80.443,-66.204,-75.173,-38.678,-74.356
-75.005,-70.943,-74.965,-38.198,-82.988
-79.965,-69.076,-78.306,-38.803,-85.004
-78.01,-79.885,-77.143,-38.762,-83.463
-77.583,-76.403,-76.456,-37.142,-85.789
-71.766,-74.48,-76.182,-39.22,-86.145
-78.649,-75.743,-77.341,-37.958,-85.036
-73.129,-76.988,-76.246,-38.764,-83.934
-77.103,-75.381,-75.333,-39.568,-84.809
-73.655,-75.617,-69.285,-38.863,-83.431
-77.671,-77.646,-72.688,-39.07,-85.365
-77.83,-77.088,-74.661,-38.455,-84.532
-78.456,-76.665,-72.55,-39.305,-85.773
-75.137,-77.434,-73.071,-41.461,-83.888
-78.728,-77.607,-75.233,-40.033,-84.926
-75.246,-75.182,-75.735,-39.002,-83.914
-75.294,-74.788,-75.867,-40.571,-84.719
-78.964,-75.973,-74.693,-37.663,-84.79
-76.844,-74.594,-76.191,-39.576,-84.618
-74.938,-74.645,-76.134,-39.011,-85.279
-75.428,-77.604,-74.456,-39.368,-83.93
-76.364,-75.619,-73.179,-39.649,-85.506
-80.069,-76.87,-75.004,-40.101,-85.543
-76.406,-76.01,-76.151,-40.181,-73.461
-75.854,-75.849,-72.327,-39.519,-83.804
-73.255,-74.517,-78.524,-42.079,-83.894
-79.203,-76.097,-74.334,-38.771,-85.532
-72.858,-75.612,-74.238,-39.827,-84.98
-73.859,-77.807,-79.323,-36.437,-84.88
-80.4,-71.093,-75.174,-39.264,-84.616
-75.513,-75.79,-76.577,-40.039,-85.407
-75.409,-79.021,-74.462,-39.552,-85.831
-80.021,-74.821,-75.685,-39.886,-83.814
-73.22,-76.375,-75.954,-39.66,-85.355
-78.372,-72.455,-75.237,-39.256,-85.052
-73.267,-80.587,-73.605,-39.33,-84.16
-75.818,-74.661,-77.522,-39.103,-84.198
-80.769,-74.809,-77.055,-39.186,-85.536
-76.456,-76.588,-68.961,-38.297,-84.307
-77.574,-71.805,-75.479,-39.094,-83.264
-76.034,-75.531,-76.984,-39.813,-85.806
-72.602,-80.242,-75.13,-38.911,-85.986
-74.756,-75.549,-74.014,-38.498,-84.986
-75.665,-75.952,-75.044,-40.464,-84.483
-75.036,-75.515,-75.364,-39.225,-80.914
-81.046,-73.939,-78.701,-38.581,-84.485
-73.517,-77.841,-73.21,-40.365,-83.749
-81.824,-76.166,-76.431,-38.591,-84.729
-80.434,-71.606,-78.628,-39.497,-85.307
-75.397,-76.724,-71.666,-40.617,-86.345
-78.547,-76.374,-74.215,-38.727,-85.886
-72.564,-78.077,-71.77,-39.308,-85.494
-72.464,-77.952,-74.784,-37.67,-86.154
-78.193,-75.737,-72.045,-41.052,-85.072
-78.145,-73.999,-71.538,-36.983,-85.209
-78.59,-76.127,-77.495,-37.542,-84.307
-73.31,-75.999,-73.295,-37.956,-86.259
-78.179,-79.675,-75.051,-38.215,-84.993
-75.281,-74.109,-73.948,-40.247,-85.392
-73.711,-76.216,-72.361,-40.617,-86.161
-75.488,-76.497,-76.726,-41.205,-84.989
-74.247,-76.223,-76.719,-37.239,-85.193
-76.413,-74.819,-74.531,-37.649,-85.41
-76.212,-75.239,-75.392,-38.446,-85.219
-77.242,-73.642,-73.861,-39.228,-85.615
-78.865,-75.551,-70.265,-39.551,-84.543
-75.844,-75.493,-71.337,-39.213,-85.049
-76.801,-76.213,-74.106,-37.682,-86.037
-74.968,-73.717,-75.092,-37.784,-85.762
-77.142,-76.44,-72.255,-37.84,-85.065
-73.956,-78.344,-78.99,-42.378,-85.103
-77.168,-74.104,-78.62,-39.06,-85.181
-75.302,-75.98,-74.567,-40.004,-85.102
-72.458,-73.187,-73.484,-39.274,-85.866
-72.149,-77.158,-76.636,-38.367,-85.499
-73.207,-71.48,-75.367,-40.025,-84.376
-73.049,-77.616,-72.236,-37.994,-85.388
-77.244,-76.351,-73.648,-38.402,-85.566
-75.327,-78.169,-70.686,-39.101,-85.655
-77.892,-74.668,-73.378,-38.142,-85.232
-80.598,-77.146,-72.835,-37.694,-86.709
-78.363,-75.613,-74.427,-40.812,-84.812
-79.38,-76.672,-75.558,-37.732,-74.716
-73.315,-80.358,-74.837,-42.728,-84.452
-75.269,-77.127,-75.566,-37.197,-84.203
-78.979,-75.654,-76.861,-37.969,-86.277
-75.923,-78.203,-73.616,-42.474,-84.552
-74.359,-74.462,-76.769,-36.864,-85.763
-73.616,-72.601,-76.343,-40.637,-85.308
-74.561,-75.967,-77.786,-38.658,-85.472
-80.167,-75.046,-75.685,-38.661,-84.517
-74.936,-74.674,-76.074,-37.797,-85.739
-79.225,-72.427,-76.022,-41.515,-85.686
-75.674,-76.896,-72.837,-39.057,-86.72
-78.172,-75.848,-79.352,-37.679,-85.011
-76.755,-75.979,-77.256,-39.477,-85.776
-79.346,-77.43,-75.253,-37.89,-85.184
-74.53,-73.215,-72.598,-37.721,-85.742
-74.584,-76.508,-76.528,-36.29,-84.654
-78.688,-76.898,-75.703,-38.619,-85.338
-73.218,-76.394,-73.438,-37.851,-85.838
-75.809,-71.011,-75.629,-38.211,-86.002
-71.378,-67.326,-74.08,-39.285,-84.716
-73.098,-67.133,-74.649,-38.589,-85.994
-75.041,-68.073,-76.678,-39.106,-85.5
-75.11,-75.727,-73.81,-36.464,-84.817
-74.719,-73.262,-75.451,-38.514,-85.525
-75.419,-72.807,-74.882,-40.245,-85.661
